FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20027963-1035.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,19,235,3599.93,0
slurm_20027963-1036.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,243,128,3599.91,0
slurm_20027963-1037.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,125,194,3599.92,0
slurm_20027963-1038.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,39,152,3599.91,0
slurm_20027963-1039.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,191,171,3599.95,0
slurm_20027963-103.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,3,2,1.10295,0
slurm_20027963-1040.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,7,0,4.84533,0
slurm_20027963-1041.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,152,151,3599.92,0
slurm_20027963-1042.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,283,146,3599.92,0
slurm_20027963-1043.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,94,211,3599.92,0
slurm_20027963-1044.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,190,157,3599.92,0
slurm_20027963-1045.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,127,174,3599.92,0
slurm_20027963-1046.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,92,132,3599.91,0
slurm_20027963-1047.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,165,144,3600.21,0
slurm_20027963-1048.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,292,168,3599.92,0
slurm_20027963-1049.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,182,140,3599.91,0
slurm_20027963-104.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,69,35,3.48553,0
slurm_20027963-1050.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,154,184,3599.92,0
slurm_20027963-1051.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,48,180,3599.93,0
slurm_20027963-1052.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,63,172,3599.92,0
slurm_20027963-1053.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,42,184,3599.93,0
slurm_20027963-1054.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,38,160,3599.92,0
slurm_20027963-1055.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,47,160,3599.93,0
slurm_20027963-1056.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,40,140,3599.92,0
slurm_20027963-1057.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,125,92,3599.92,0
slurm_20027963-1058.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,47,188,3599.93,0
slurm_20027963-1059.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,43,128,3599.92,0
slurm_20027963-105.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,1.03852,0
slurm_20027963-1060.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,40,196,3599.93,0
slurm_20027963-1061.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,42,188,3599.94,0
slurm_20027963-1062.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,41,152,3599.92,0
slurm_20027963-1063.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,43,172,3599.93,0
slurm_20027963-1064.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,32,172,3599.93,0
slurm_20027963-1065.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,49,192,3599.93,0
