FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20023249-1038.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-7.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,90790,46213,3599.95,0
slurm_20023249-1039.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-8.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,160650,37821,3599.9,0
slurm_20023249-103.out:result,../../../instances/GNEP_knapsack_instances/2-15-5-uncorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,3497,1511,36.0222,0
slurm_20023249-1040.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,149319,42633,3599.95,0
slurm_20023249-1041.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,65677,45952,3599.99,0
slurm_20023249-1042.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,161620,44961,3599.9,0
slurm_20023249-1043.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,101223,53882,3599.91,0
slurm_20023249-1044.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,61520,68150,3599.9,0
slurm_20023249-1045.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,116006,67833,3599.92,0
slurm_20023249-1046.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,107826,64529,3599.93,0
slurm_20023249-1047.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,59488,51543,3599.98,0
slurm_20023249-1048.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-7.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,186185,60744,3600.01,0
slurm_20023249-1049.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-8.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,280286,30845,3599.91,0
slurm_20023249-104.out:result,../../../instances/GNEP_knapsack_instances/2-15-5-uncorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,97,30,0.746011,0
slurm_20023249-1050.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-weakcorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,88297,74062,3599.91,0
slurm_20023249-1051.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,64711,74410,3599.95,0
slurm_20023249-1052.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,65551,79068,3600,0
slurm_20023249-1053.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,64853,73327,3599.99,0
slurm_20023249-1054.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,65937,61429,3599.97,0
slurm_20023249-1055.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,62147,65832,3599.93,0
slurm_20023249-1056.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,50474,57145,3600.01,0
slurm_20023249-1057.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,41985,63597,3599.9,0
slurm_20023249-1058.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-7.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,68796,63807,3599.95,0
slurm_20023249-1059.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-8.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,64944,77609,3599.97,0
slurm_20023249-105.out:result,../../../instances/GNEP_knapsack_instances/2-15-5-uncorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,253922,160235,3599.92,0
slurm_20023249-1060.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-strongcorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,57647,76320,3600.01,0
slurm_20023249-1061.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,88680,54005,3599.96,0
slurm_20023249-1062.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,75453,50851,3599.93,0
slurm_20023249-1063.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,57608,51752,3599.98,0
slurm_20023249-1064.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,77660,50943,3599.96,0
slurm_20023249-1065.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,62042,36746,3599.92,0
slurm_20023249-1066.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,91113,45782,3599.91,0
slurm_20023249-1067.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,60536,49968,3599.93,0
slurm_20023249-1068.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-7.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,70440,55100,3599.94,0
slurm_20023249-1069.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-8.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,74032,33114,3599.95,0
slurm_20023249-106.out:result,../../../instances/GNEP_knapsack_instances/2-15-5-uncorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,13338,8855,129.914,0
slurm_20023249-1070.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-uncorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,21,0,0.41042,0
slurm_20023249-1071.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,58852,76919,3600.01,0
slurm_20023249-1072.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,48242,52651,3599.91,0
slurm_20023249-1073.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,35385,49012,3599.99,0
slurm_20023249-1074.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,46863,50077,3599.9,0
slurm_20023249-1075.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,57182,39485,3599.9,0
slurm_20023249-1076.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,54413,46415,3599.92,0
slurm_20023249-1077.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,45470,58777,3599.9,0
slurm_20023249-1078.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-7.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,45120,51725,3599.9,0
slurm_20023249-1079.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-8.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,72160,52991,3599.92,0
slurm_20023249-107.out:result,../../../instances/GNEP_knapsack_instances/2-15-5-uncorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,210138,109397,3599.91,0
slurm_20023249-1080.out:result,../../../instances/GNEP_knapsack_instances/4-30-5-weakcorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,52300,59158,3600.01,0
slurm_20023249-1081.out:result,../../../instances/GNEP_knapsack_instances/4-40-2-strongcorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,80772,42876,3600.04,0
slurm_20023249-1082.out:result,../../../instances/GNEP_knapsack_instances/4-40-2-strongcorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,76279,49001,3599.9,0
slurm_20023249-1083.out:result,../../../instances/GNEP_knapsack_instances/4-40-2-strongcorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,74348,49054,3599.9,0
slurm_20023249-1084.out:result,../../../instances/GNEP_knapsack_instances/4-40-2-strongcorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,73927,46496,3599.98,0
slurm_20023249-1085.out:result,../../../instances/GNEP_knapsack_instances/4-40-2-strongcorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,68425,43970,3600.01,0
