FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20025748-1045.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,18443,53,3599.91,0
slurm_20025748-1046.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,17755,68,3599.91,0
slurm_20025748-1047.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,25633,55,3599.91,0
slurm_20025748-1048.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,48307,59,3599.91,0
slurm_20025748-1049.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,10938,49,1891.79,0
slurm_20025748-104.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,10433,143,149.601,0
slurm_20025748-1050.out:result,../../../instances/NEP_knapsack_instances/4-30-2-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,11787,47,3599.91,0
slurm_20025748-1051.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,18393,75,3599.91,0
slurm_20025748-1052.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,6298,121,3599.92,0
slurm_20025748-1053.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,23551,34,3599.91,0
slurm_20025748-1054.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,9676,76,3599.91,0
